study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB21902	SAMEA104175520	ERX2102957	ERR2043900	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/000/ERR2043900/ERR2043900.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/000/ERR2043900/ERR2043900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/000/ERR2043900/ERR2043900_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2043900/31H.bam	
PRJEB21902	SAMEA104176022	ERX2103345	ERR2044288	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/008/ERR2044288/ERR2044288.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/008/ERR2044288/ERR2044288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/008/ERR2044288/ERR2044288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2044288/91H.bam	
PRJEB21902	SAMEA104176024	ERX2103346	ERR2044289	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/009/ERR2044289/ERR2044289.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/009/ERR2044289/ERR2044289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/009/ERR2044289/ERR2044289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2044289/202H1.bam	
PRJEB21902	SAMEA104176025	ERX2103347	ERR2044290	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/000/ERR2044290/ERR2044290.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/000/ERR2044290/ERR2044290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/000/ERR2044290/ERR2044290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2044290/203H.bam	
PRJEB21902	SAMEA104176028	ERX2103348	ERR2044291	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/001/ERR2044291/ERR2044291.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/001/ERR2044291/ERR2044291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/001/ERR2044291/ERR2044291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2044291/86T.bam	
PRJEB21902	SAMEA104176029	ERX2103349	ERR2044292	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/002/ERR2044292/ERR2044292.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/002/ERR2044292/ERR2044292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/002/ERR2044292/ERR2044292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2044292/88T.bam	
PRJEB21902	SAMEA104176031	ERX2103350	ERR2044293	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/003/ERR2044293/ERR2044293.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/003/ERR2044293/ERR2044293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/003/ERR2044293/ERR2044293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2044293/202T2.bam	
PRJEB21902	SAMEA104176033	ERX2103351	ERR2044294	9305	Sarcophilus harrisii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/004/ERR2044294/ERR2044294.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/004/ERR2044294/ERR2044294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/004/ERR2044294/ERR2044294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR204/ERR2044294/203T3.bam	
